rest_id,name,photo_url,event_id,event_title,start_date,end_date
18649486,The Drunken Botanist,https://www.zomato.com/ncr/the-drunken-botanist-dlf-cyber-city-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,322331,"BackToBasic Wednesdays !!


",2019-03-06,2019-08-28
308322,Hauz Khas Social,https://www.zomato.com/HauzKhasSocial/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,332812,Live 20/20 Match Screenings,2019-03-29,2019-05-23
18856789,AIR- An Ivory Region,https://www.zomato.com/ncr/air-an-ivory-region-punjabi-bagh-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,336644,Dhol Bhangra Night,2019-04-10,2019-04-11
18382360,Local,https://www.zomato.com/ncr/local-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,336889,Cocktail Wednesday,2019-04-10,2019-04-10
18382360,Local,https://www.zomato.com/ncr/local-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,336888,Cocktail Wednesday,2019-04-10,2019-04-10
18382360,Local,https://www.zomato.com/ncr/local-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,336890,Cocktail Wednesday,2019-04-10,2019-04-10
18382360,Local,https://www.zomato.com/ncr/local-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,336894,Hip Hop Friday,2019-04-12,2019-04-12
18382360,Local,https://www.zomato.com/ncr/local-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,336903,Urban Saturday,2019-04-13,2019-04-13
18466951,Jungle Jamboree,https://www.zomato.com/ncr/jungle-jamboree-sector-34-noida/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,116096,Festive Food Bonanza || Special Buffet Prices starting @ Rs. 499 + || Full Day Alacarte,2019-01-21,2019-05-31
18466951,Jungle Jamboree,https://www.zomato.com/ncr/jungle-jamboree-sector-34-noida/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,161417,7 Course High Tea Birthday & Kitty Parties @ Rs. 499 + onwards with Unlimited Aerated Drinks,2019-01-21,2019-05-31
18466951,Jungle Jamboree,https://www.zomato.com/ncr/jungle-jamboree-sector-34-noida/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,336622,Special Navratras Thali at just @399 +Taxes at Jungle Jamboree,2019-04-08,2019-04-13
18337893,The Luggage Room Kitchen And Bar,https://www.zomato.com/TheLuggageRoom/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,336251,Commercial Night,2019-04-10,2019-04-11
18337893,The Luggage Room Kitchen And Bar,https://www.zomato.com/TheLuggageRoom/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,336248,Ladies Night,2019-04-11,2019-04-11
18246991,Odeon Social,https://www.zomato.com/OdeonSocial/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,332812,Live 20/20 Match Screenings,2019-03-29,2019-05-23
18571735,Dum Laga Ke Haishaa,https://www.zomato.com/kolkata/dum-laga-ke-haishaa-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,297761,Happy Hour! ,2019-01-10,2019-12-31
18571735,Dum Laga Ke Haishaa,https://www.zomato.com/kolkata/dum-laga-ke-haishaa-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,316852,Food Festival,2019-02-21,2019-05-31
18571735,Dum Laga Ke Haishaa,https://www.zomato.com/kolkata/dum-laga-ke-haishaa-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,321358,Shah Jahani e Thali (3-4 packs),2019-03-04,2019-08-31
